Date,Close,Volume,100_MA
2019-08-27,53.41,2284800,63.39940007999999
2019-08-28,54.34,896600,63.26060007
2019-08-29,54.400002,1004000,63.12810007
2019-08-30,52.790001000000004,1958900,62.98910006
2019-09-03,50.299999,2679400,62.81000006
2019-09-04,50.150002,2232700,62.63500006
2019-09-05,50.099998,3784400,62.48220007
2019-09-06,47.98,3700700,62.3000001
2019-09-09,50.5,5493100,62.14220011
2019-09-10,50.529999,3808400,62.0050001
2019-09-11,52.669998,3784700,61.89770006
2019-09-12,54.880001,3851500,61.81140009000001
2019-09-13,56.860001000000004,4835100,61.72780009000001
2019-09-16,57.84,3006500,61.645400070000015
2019-09-17,59.849998,3746000,61.56540007000002
2019-09-18,59.450001,3845300,61.48280009000002
2019-09-19,59.07,9327100,61.379400050000015
2019-09-20,60.41,21290300,61.30810004000001
2019-09-23,60.540001000000004,3647400,61.24560004000001
2019-09-24,56.900002,4253100,61.133900060000016
2019-09-25,55.0,6614400,60.98740004000001
2019-09-26,54.400002,5044500,60.84110007000001
2019-09-27,54.810001,2540300,60.71950007000001
2019-09-30,56.5,2507500,60.603700050000015
2019-10-01,55.299999,2172100,60.54910006000002
2019-10-02,53.91,3066300,60.47020007000002
2019-10-03,55.82,2755400,60.45610007000002
2019-10-04,56.48,2638000,60.43270007000002
2019-10-07,55.919998,2751100,60.373000060000024
2019-10-08,55.209998999999996,2436700,60.28860003000002
2019-10-09,57.205002,2174100,60.23285006000001
2019-10-10,57.77,2623100,60.17935007000002
2019-10-11,59.259997999999996,2804400,60.11985006000002
2019-10-14,59.110001000000004,1500600,60.07085005000002
2019-10-15,60.02,1627000,60.037850050000024
2019-10-16,58.549999,2319900,59.976250050000026
2019-10-17,60.419998,1762900,59.93015004000003
2019-10-18,57.610001000000004,2921400,59.88495004000002
2019-10-21,58.040001000000004,1200300,59.835850040000025
2019-10-22,56.830002,2424000,59.78105005000002
2019-10-23,56.639998999999996,2037900,59.736750040000025
2019-10-24,57.75,3876600,59.70175004000002
2019-10-25,58.669998,4683900,59.673550000000034
2019-10-28,57.32,2663900,59.62715001000003
2019-10-29,54.41,4615800,59.53235002000003
2019-10-30,52.799999,7103600,59.40725003000003
2019-10-31,44.490002000000004,16320100,59.18035005000004
2019-11-01,45.654999,6325700,58.94520006000003
2019-11-04,44.740002000000004,4870100,58.69210005000003
2019-11-05,43.23,3556000,58.44640002000002
2019-11-06,42.619999,3972400,58.18800002000002
2019-11-07,41.860001000000004,3467600,57.93710006000002
